Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
tseries,Music and Dance,249500000.0,India,86200.0,2700.0,78.0,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
MrBeast,"Video Games, Humor",183500000.0,United States,117400000.0,5300000.0,18500.0,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
CoComelon,Education,165500000.0,Unknown,7000000.0,24700.0,0.0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
SETIndia,Unknown,162600000.0,India,15600.0,166.0,9.0,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
KidsDianaShow,"Animation, Toys",113500000.0,Unknown,3900000.0,12400.0,0.0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
PewDiePie,"Movies, Video Games",111500000.0,United States,2400000.0,197300.0,4900.0,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
LikeNastyaofficial,Toys,107500000.0,Unknown,2600000.0,28000.0,0.0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
VladandNiki,"Animation, Toys",101400000.0,Unknown,4100000.0,22100.0,0.0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
zeemusiccompany,Music and Dance,99700000.0,India,74300.0,2600.0,32.0,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
WWE,Video Games,97200000.0,United States,184500.0,6300.0,214.0,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
BLACKPINK,Music and Dance,91300000.0,United States,863200.0,146900.0,3400.0,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
GoldminesTelefilms,Unknown,89700000.0,India,34600.0,421.0,13.0,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
SonySAB,"Movies, Animation",85400000.0,India,35500.0,615.0,21.0,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
5MinuteCraftsYouTube,Movies,80300000.0,India,164600.0,703.0,35.0,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
BTS,Music and Dance,76500000.0,India,969700.0,180300.0,7400.0,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
HYBELABELS,Music and Dance,72700000.0,United States,440700.0,23900.0,932.0,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
zeetv,Unknown,72500000.0,India,7300.0,144.0,1.0,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
Pinkfong,"Animation, Toys",69600000.0,Unknown,506400.0,397.0,0.0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
